Topology,Host name,Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Packet Loss,Throughput (Gbps)
"star, k=2",h2,1,25,tcp,0,24.99541665726947
"star, k=2",h2,1,50,tcp,0,29.637673246159142
"star, k=2",h2,1,75,tcp,0,30.35089624790348
"star, k=2",h2,2,25,tcp,0,49.98815321320415
"star, k=2",h2,2,50,tcp,0,54.26593313103575
"star, k=2",h2,2,75,tcp,0,51.6719225721912
"star, k=2",h2,4,25,tcp,0,95.82985747370165
"star, k=2",h2,4,50,tcp,0,93.99369197240449
"star, k=2",h2,4,75,tcp,0,93.5466548624219
"star, k=2",h2,1,25,udp,0.896381550702302,2.3600968656070074
"star, k=2",h2,1,50,udp,0.7519264230673627,2.4042767641500946
"star, k=2",h2,1,75,udp,0.6743444360659576,2.4436096002367518
"star, k=2",h2,2,25,udp,0.20414939500492685,4.741938234206444
"star, k=2",h2,2,50,udp,2.4086400981146716,4.627528759174825
"star, k=2",h2,2,75,udp,0.2752879179603904,4.6800004277994045
"star, k=2",h2,4,25,udp,2.687474791779232,8.371017694190908
"star, k=2",h2,4,50,udp,1.2612234758360823,7.95673815751607
"star, k=2",h2,4,75,udp,0.32702599592821974,8.121011964466541
"star, k=2",h2,1,25,quic,0,24.998232988195774
"star, k=2",h2,1,50,quic,0,26.6430368744367
"star, k=2",h2,1,75,quic,0,29.107485461069576
"star, k=2",h2,2,25,quic,0,49.942443776647174
"star, k=2",h2,2,50,quic,0,52.73923798034872
"star, k=2",h2,2,75,quic,0,52.04442804599228
"star, k=2",h2,4,25,quic,0,93.8076302357639
"star, k=2",h2,4,50,quic,0,83.47192121504925
"star, k=2",h2,4,75,quic,0,85.05266658274662
"star, k=4",h2,1,25,tcp,0,24.99887281049443
"star, k=4",h2,1,50,tcp,0,29.149558654383046
"star, k=4",h2,1,75,tcp,0,30.394806382645367
"star, k=4",h2,2,25,tcp,0,49.45898827858073
"star, k=4",h2,2,50,tcp,0,47.610168288900745
"star, k=4",h2,2,75,tcp,0,49.94106195643382
"star, k=4",h2,4,25,tcp,0,90.1699778232178
"star, k=4",h2,4,50,tcp,0,81.54208729484951
"star, k=4",h2,4,75,tcp,0,84.34167450591012
"star, k=4",h2,1,25,udp,0.811805919267885,2.213152338042583
"star, k=4",h2,1,50,udp,1.3266150085265849,2.398892241856126
"star, k=4",h2,1,75,udp,7.601022326806805,2.2630516913372927
"star, k=4",h2,2,25,udp,3.4572592032531193,4.660359814165459
"star, k=4",h2,2,50,udp,0.21270474039390153,4.66870182772193
"star, k=4",h2,2,75,udp,5.625818115559156,4.5619505070325745
"star, k=4",h2,4,25,udp,0.35221375498638885,8.785138536850324
"star, k=4",h2,4,50,udp,0.9558163872401213,8.125124304594731
"star, k=4",h2,4,75,udp,0.3308232716308142,8.28681292223324
"star, k=4",h2,1,25,quic,0,24.96613763907802
"star, k=4",h2,1,50,quic,0,29.227332636149534
"star, k=4",h2,1,75,quic,0,30.15805794958139
"star, k=4",h2,2,25,quic,0,49.99107235238643
"star, k=4",h2,2,50,quic,0,53.3849731717174
"star, k=4",h2,2,75,quic,0,52.14712566006672
"star, k=4",h2,4,25,quic,0,91.4931750039666
"star, k=4",h2,4,50,quic,0,86.64704816167664
"star, k=4",h2,4,75,quic,0,84.4680177056478
"star, k=4",h3,1,25,tcp,0,24.998766071289495
"star, k=4",h3,1,50,tcp,0,29.731929713237925
"star, k=4",h3,1,75,tcp,0,29.259437753637844
"star, k=4",h3,2,25,tcp,0,49.99374479624546
"star, k=4",h3,2,50,tcp,0,52.7669958154445
"star, k=4",h3,2,75,tcp,0,53.0789635696866
"star, k=4",h3,4,25,tcp,0,93.2834858358732
"star, k=4",h3,4,50,tcp,0,85.21288850671162
"star, k=4",h3,4,75,tcp,0,84.00615963895292
"star, k=4",h3,1,25,udp,0.7273538361860657,2.180928258668374
"star, k=4",h3,1,50,udp,0.9945314318088464,2.392351147485029
"star, k=4",h3,1,75,udp,0.755182387138587,2.394426922924273
"star, k=4",h3,2,25,udp,0.5866417129051608,4.598173339292174
"star, k=4",h3,2,50,udp,4.680313539843037,4.550173389799865
"star, k=4",h3,2,75,udp,0.1837755235154896,4.660175846984713
"star, k=4",h3,4,25,udp,0.9715943630384694,8.483044755336316
"star, k=4",h3,4,50,udp,0.3559257177961009,8.13931314824817
"star, k=4",h3,4,75,udp,2.020538689008708,7.82975206141524
"star, k=4",h3,1,25,quic,0,24.995651264396134
"star, k=4",h3,1,50,quic,0,30.14076790221985
"star, k=4",h3,1,75,quic,0,29.961820917021587
"star, k=4",h3,2,25,quic,0,49.9087414055502
"star, k=4",h3,2,50,quic,0,52.702189080571074
"star, k=4",h3,2,75,quic,0,52.6663105611225
"star, k=4",h3,4,25,quic,0,94.10457523118535
"star, k=4",h3,4,50,quic,0,84.6063017991639
"star, k=4",h3,4,75,quic,0,85.1546777310231
"star, k=4",h4,1,25,tcp,0,24.999118648978705
"star, k=4",h4,1,50,tcp,0,30.019107415801603
"star, k=4",h4,1,75,tcp,0,30.031098956989876
"star, k=4",h4,2,25,tcp,0,49.94235507839472
"star, k=4",h4,2,50,tcp,0,52.855849566458566
"star, k=4",h4,2,75,tcp,0,52.91213751870313
"star, k=4",h4,4,25,tcp,0,93.63893230417894
"star, k=4",h4,4,50,tcp,0,86.49049721480337
"star, k=4",h4,4,75,tcp,0,83.41534182233717
"star, k=4",h4,1,25,udp,0.8366757256965746,2.239185998429401
"star, k=4",h4,1,50,udp,0.7657041891538376,2.3951687945106044
"star, k=4",h4,1,75,udp,0.7615824794205434,2.4335523103131727
