Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Delay (ms),Protocol
1,25,10,TCP
1,25,100,TCP
1,25,1000,TCP
1,50,10,TCP
1,50,100,TCP
1,50,1000,TCP
1,75,10,TCP
1,75,100,TCP
1,75,1000,TCP
2,25,10,TCP
2,25,100,TCP
2,25,1000,TCP
2,50,10,TCP
2,50,100,TCP
2,50,1000,TCP
2,75,10,TCP
2,75,100,TCP
2,75,1000,TCP
4,25,10,TCP
4,25,100,TCP
4,25,1000,TCP
4,50,10,TCP
4,50,100,TCP
4,50,1000,TCP
4,75,10,TCP
4,75,100,TCP
4,75,1000,TCP
1,25,10,UDP
1,25,100,UDP
1,25,1000,UDP
1,50,10,UDP
1,50,100,UDP
1,50,1000,UDP
1,75,10,UDP
1,75,100,UDP
1,75,1000,UDP
2,25,10,UDP
2,25,100,UDP
2,25,1000,UDP
2,50,10,UDP
2,50,100,UDP
2,50,1000,UDP
2,75,10,UDP
2,75,100,UDP
2,75,1000,UDP
4,25,10,UDP
4,25,100,UDP
4,25,1000,UDP
4,50,10,UDP
4,50,100,UDP
4,50,1000,UDP
4,75,10,UDP
4,75,100,UDP
4,75,1000,UDP
1,25,10,QUIC
1,25,100,QUIC
1,25,1000,QUIC
1,50,10,QUIC
1,50,100,QUIC
1,50,1000,QUIC
1,75,10,QUIC
1,75,100,QUIC
1,75,1000,QUIC
2,25,10,QUIC
2,25,100,QUIC
2,25,1000,QUIC
2,50,10,QUIC
2,50,100,QUIC
2,50,1000,QUIC
2,75,10,QUIC
2,75,100,QUIC
2,75,1000,QUIC
4,25,10,QUIC
4,25,100,QUIC
4,25,1000,QUIC
4,50,10,QUIC
4,50,100,QUIC
4,50,1000,QUIC
4,75,10,QUIC
4,75,100,QUIC
4,75,1000,QUIC
