Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Delay (ms),Protocol,Packet Loss,Throughput (Gbps)
1,25,10,tcp,0,24.973913467214768
1,25,100,tcp,0,24.995630073860188
1,25,1000,tcp,0,24.997177562601724
1,50,10,tcp,0,34.46466225572919
1,50,100,tcp,0,34.609132558274865
1,50,1000,tcp,0,34.74064478195865
1,75,10,tcp,0,34.963086339042555
1,75,100,tcp,0,34.773464990193474
1,75,1000,tcp,0,34.738599197516265
2,25,10,tcp,0,49.997888410163426
2,25,100,tcp,0,49.99361537967372
2,25,1000,tcp,0,49.99691207581941
2,50,10,tcp,0,61.9822211025511
2,50,100,tcp,0,61.7013713988973
2,50,1000,tcp,0,61.73672796873372
2,75,10,tcp,0,61.85471966680547
2,75,100,tcp,0,61.28233911869512
2,75,1000,tcp,0,61.6880721619487
4,25,10,tcp,0,99.98969669570225
4,25,100,tcp,0,96.8680676879316
4,25,1000,tcp,0,95.9917939639507
4,50,10,tcp,0,90.02939337244054
4,50,100,tcp,0,91.23054311155734
4,50,1000,tcp,0,88.95745055445144
4,75,10,tcp,0,93.92281750038084
4,75,100,tcp,0,91.6019121950673
4,75,1000,tcp,0,87.43558181200984
1,25,10,udp,9.994686292517505,24.999267580653672
1,25,100,udp,16.2635965472677,24.99877681966049
1,25,1000,udp,14.372811340141332,24.997413486289886
1,50,10,udp,16.384821591413537,38.067077725873396
1,50,100,udp,16.10801029900445,38.522013606736934
1,50,1000,udp,17.439963090743174,38.62628442481523
1,75,10,udp,21.63966288210211,37.86325759360371
1,75,100,udp,18.514231293359764,40.62198668987407
1,75,1000,udp,17.250344788524018,38.3541757994059
2,25,10,udp,6.971348484673906,49.99840608523508
2,25,100,udp,6.197354794618187,49.99849880822779
2,25,1000,udp,4.960684690748047,49.99898949589346
2,50,10,udp,12.360265060198282,73.8842807471379
2,50,100,udp,11.086216007079225,74.5157975545117
2,50,1000,udp,11.986646723369853,74.41176594227807
2,75,10,udp,14.70323103050454,73.12887229996946
2,75,100,udp,11.911134290542028,74.31845573299735
2,75,1000,udp,12.551181960229428,75.91764823527451
4,25,10,udp,4.690518859504613,99.99588751828239
4,25,100,udp,4.576947665328395,99.99539623454967
4,25,1000,udp,4.781451704223757,99.99594676227139
4,50,10,udp,1.8943642908157652,125.2905316946969
4,50,100,udp,2.2600158972436932,115.80616466770977
4,50,1000,udp,2.0016299130786246,119.29793322312383
4,75,10,udp,4.37140424966394,116.75446684651038
4,75,100,udp,2.8626694753729254,114.75616306786789
4,75,1000,udp,1.8793872574200141,121.18251255776966
1,25,10,quic,0,24.997725430779784
1,25,100,quic,0,24.999091679763357
1,25,1000,quic,0,24.99899266969997
1,50,10,quic,0,32.03983445299395
1,50,100,quic,0,34.182445076772005
1,50,1000,quic,0,35.622608843369825
1,75,10,quic,0,34.772947299704136
1,75,100,quic,0,35.25266208966476
1,75,1000,quic,0,36.189358742932505
2,25,10,quic,0,49.997538220454636
2,25,100,quic,0,49.99774912139296
2,25,1000,quic,0,49.99794241946397
2,50,10,quic,0,62.171447407377784
2,50,100,quic,0,62.581480677042
2,50,1000,quic,0,61.97569266230074
2,75,10,quic,0,60.6350814580988
2,75,100,quic,0,60.2699985687905
2,75,1000,quic,0,60.14390742385246
4,25,10,quic,0,99.969908062436
4,25,100,quic,0,96.302196516043
4,25,1000,quic,0,92.2741009045849
4,50,10,quic,0,94.26462968110087
4,50,100,quic,0,94.1543898274581
4,50,1000,quic,0,90.67482866826057
4,75,10,quic,0,94.68541840426116
4,75,100,quic,0,93.6558656650114
4,75,1000,quic,0,92.0230198041868
