Duration (s),Parallelism Level,"Bandwidth cap (bitrate, Gbps)"
10,1,25
10,1,50
10,1,75
10,1,100
10,1,150
10,1,200
10,2,25
10,2,50
10,2,75
10,2,100
10,2,150
10,2,200
10,4,25
10,4,50
10,4,75
10,4,100
10,4,150
10,4,200
10,8,25
10,8,50
10,8,75
10,8,100
10,8,150
10,8,200
10,16,25
10,16,50
10,16,75
10,16,100
10,16,150
10,16,200
10,32,25
10,32,50
10,32,75
10,32,100
10,32,150
10,32,200
10,64,25
10,64,50
10,64,75
10,64,100
10,64,150
10,64,200
20,1,25
20,1,50
20,1,75
20,1,100
20,1,150
20,1,200
20,2,25
20,2,50
20,2,75
20,2,100
20,2,150
20,2,200
20,4,25
20,4,50
20,4,75
20,4,100
20,4,150
20,4,200
20,8,25
20,8,50
20,8,75
20,8,100
20,8,150
20,8,200
20,16,25
20,16,50
20,16,75
20,16,100
20,16,150
20,16,200
20,32,25
20,32,50
20,32,75
20,32,100
20,32,150
20,32,200
20,64,25
20,64,50
20,64,75
20,64,100
20,64,150
20,64,200
30,1,25
30,1,50
30,1,75
30,1,100
30,1,150
30,1,200
30,2,25
30,2,50
30,2,75
30,2,100
30,2,150
30,2,200
30,4,25
30,4,50
30,4,75
30,4,100
30,4,150
30,4,200
30,8,25
30,8,50
30,8,75
30,8,100
30,8,150
30,8,200
30,16,25
30,16,50
30,16,75
30,16,100
30,16,150
30,16,200
30,32,25
30,32,50
30,32,75
30,32,100
30,32,150
30,32,200
30,64,25
30,64,50
30,64,75
30,64,100
30,64,150
30,64,200
